wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2019-12-14,1,12.21,12.21,1
1,01,2019-12-16,1,1.63,1.63,1
1,01,2020-01-01,1,1.14,1.14,1
1,01,2020-02-01,7,22.240000000000002,5.28,1
1,01,2020-02-04,6,20.76,6.67,1
1,01,2020-02-07,3,11.35,6.53,1
1,01,2020-02-26,1,0.27,0.27,1
1,01,2020-02-27,1,2.76,2.76,1
1,01,2020-02-28,1,2.53,2.53,1
1,01,2020-02-29,2,4.8,3.07,1
1,01,2020-03-01,1,2.84,2.84,1
1,01,2020-03-03,1,1.16,1.16,1
1,01,2020-03-05,1,0.62,0.62,1
1,01,2020-03-08,1,0.96,0.96,1
1,01,2020-03-09,2,1.42,0.73,1
1,01,2020-03-10,2,2.66,1.59,1
1,01,2020-03-11,3,19.6,7.33,1
1,01,2020-03-12,3,26.270000000000003,9.63,1
1,01,2020-03-17,1,0.64,0.64,1
1,01,2020-03-18,2,3.09,2.6,1
1,01,2020-03-19,3,3.21,2.19,1
1,01,2020-03-20,2,1.74,1.57,1
1,01,2020-03-23,6,7.14,2.68,1
1,01,2020-03-24,2,2.55,1.38,1
1,01,2020-03-25,2,10.96,7.5,1
1,01,2020-03-26,4,12.83,5.37,1
1,01,2020-03-29,1,0.81,0.81,1
1,01,2020-04-11,2,60.5,30.32,1
1,01,2020-06-12,1,8.17,8.17,1
1,01,2020-06-13,1,3.47,3.47,1
1,01,2020-06-24,7,529.38,114.73,1
1,01,2020-06-28,1,0.92,0.92,1
1,01,2020-07-04,1,9.51,9.51,1
1,01,2020-07-12,1,3.19,3.19,1
1,01,2020-07-23,1,1.7,1.7,1
1,01,2020-08-01,6,116.34,31.25,1
1,01,2020-08-03,2,51.849999999999994,34.91,1
1,01,2020-08-04,1,3.21,3.21,1
1,01,2020-08-05,4,39.28,16.11,1
1,01,2020-08-16,4,74.3,28.32,1
1,01,2020-08-27,1,5.75,5.75,1
1,01,2020-09-11,3,59.870000000000005,22.5,1
1,01,2020-09-13,2,6.94,3.47,1
1,01,2020-09-17,1,10.27,10.27,1
1,01,2020-09-19,5,42.010000000000005,12.23,1
1,01,2020-09-26,1,0.85,0.85,1
1,01,2020-10-02,4,53.410000000000004,15.73,1
1,01,2020-10-04,1,4.61,4.61,1
1,01,2020-10-09,1,2.64,2.64,1
1,01,2020-10-12,7,42.83,7.54,1
1,01,2020-10-13,1,3.37,3.37,1
1,01,2020-10-14,14,37.86,11.88,1
1,01,2020-10-15,2,7.220000000000001,4.12,1
1,01,2020-10-18,1,12.66,12.66,1
1,01,2020-10-20,1,2.19,2.19,1
1,01,2020-10-22,2,5.84,2.92,1
1,01,2020-10-24,1,6.8,6.8,1
1,01,2020-10-28,2,7.18,4.45,1
1,01,2020-10-31,2,3.9699999999999998,2.06,1
1,01,2020-11-08,3,38.339999999999996,34.33,1
1,01,2020-11-13,2,15.39,9.43,1
1,01,2020-11-15,1,6.49,6.49,1
1,01,2020-11-19,1,7.3,7.3,1
1,01,2020-11-28,1,6.65,6.65,1
1,01,2020-11-29,2,6.17,3.75,1
1,01,2020-12-01,1,1.91,1.91,1
1,01,2020-12-02,3,3.54,1.46,1
1,01,2020-12-05,3,34.65,23.52,1
1,01,2020-12-06,6,17.17,4.53,1
1,01,2020-12-07,5,11.18,4.6,1
1,01,2020-12-08,3,6.76,3.62,1
1,01,2020-12-09,1,1.31,1.31,1
1,01,2020-12-10,9,24.94,5.82,1
1,01,2020-12-16,1,5.98,5.98,1
1,01,2020-12-18,1,2.72,2.72,1
1,01,2020-12-28,1,2.81,2.81,1
1,01,2021-01-10,3,2.46,0.96,1
1,01,2021-01-16,2,3.0500000000000003,2.2,1
1,01,2021-01-26,2,1.27,0.66,1
1,01,2021-01-30,1,2.11,2.11,1
1,01,2021-01-31,4,4.68,1.7,1
1,01,2021-02-03,2,0.54,0.31,1
1,01,2021-02-08,3,4.28,1.86,1
1,01,2021-02-11,1,0.28,0.28,1
1,01,2021-02-22,2,8.29,4.96,1
1,01,2021-02-23,3,7.29,2.97,1
1,01,2021-02-26,2,4.67,3.02,1
1,01,2021-03-04,1,5.54,5.54,1
1,01,2021-03-05,4,33.16,11.64,1
1,01,2021-03-08,1,5.07,5.07,1
1,01,2021-03-14,6,26.96,7.55,1
1,01,2021-03-16,2,9.31,5.37,1
1,01,2021-03-17,4,37.04,14.06,1
1,01,2021-03-20,2,11.08,10.5,1
1,01,2021-03-21,1,8.92,8.92,1
1,01,2021-03-22,2,16.14,12.19,1
1,01,2021-03-24,10,74.16,13.21,1
1,01,2021-04-01,2,1.89,1.15,1
1,01,2021-04-02,3,13.31,8.41,1
1,01,2021-04-04,1,1.95,1.95,1
1,01,2021-04-10,1,0.73,0.73,1
1,01,2021-04-20,1,0.25,0.25,1
1,01,2021-04-22,1,4.58,4.58,1
